Pick,Player,Team,Position,PositionalRank,raw
,,,,,"1.01 Jermaine Burton, None WR (1)"
,,,,,"1.02 Louis Rees-Zammit, None RB (1)"
,,,,,"1.03 Emani Bailey, None RB (2)"
,,,,,"1.04 Jordan Travis, None QB (1)"
,,,,,"1.05 Jase McClellan, None RB (3)"
,,,,,"1.06 Dillon Johnson, None RB (4)"
,,,,,"1.07 Jha'Quan Jackson, None WR (2)"
,,,,,"1.08 Taulia Tagovailoa, None QB (2)"
,,,,,"1.09 Michael Pratt, None QB (3)"
,,,,,"1.10 Dallin Holker, None TE (1)"
,,,,,"1.11 Hayden Hatten, None WR (3)"
,,,,,"1.12 Devin Leary, None QB (4)"
